Date,3M
1/2/86,8
1/3/86,8.0625
1/6/86,8.125
1/7/86,8.125
1/8/86,8
1/9/86,8.1875
1/10/86,8.25
1/13/86,8.375
1/14/86,8.375
1/15/86,8.25
1/16/86,8.19
1/17/86,8.19
1/20/86,8.25
1/21/86,8.19
1/22/86,8.19
1/23/86,8.19
1/24/86,8.19
1/27/86,8.13
1/28/86,8.06
1/29/86,8.06
1/30/86,8.06
1/31/86,8.06
2/3/86,8.06
2/4/86,8.06
2/5/86,8
2/6/86,8
2/7/86,8.06
2/10/86,8.13
2/11/86,8.06
2/12/86,8.06
2/13/86,8.06
2/14/86,8.06
2/17/86,8
2/18/86,8
2/19/86,8
2/20/86,8
2/21/86,8
2/24/86,8
2/25/86,7.94
2/26/86,8
2/27/86,7.94
2/28/86,7.88
3/3/86,7.88
3/4/86,7.75
3/5/86,7.69
3/6/86,7.69
3/7/86,7.56
3/10/86,7.56
3/11/86,7.5
3/12/86,7.44
3/13/86,7.5
3/14/86,7.5
3/17/86,7.5
3/18/86,7.5
3/19/86,7.56
3/20/86,7.56
3/21/86,7.5
3/24/86,7.56
3/25/86,7.56
3/26/86,7.56
3/27/86,7.44
4/1/86,7.31
4/2/86,7.31
4/3/86,7.31
4/4/86,7.35
4/7/86,7.25
4/8/86,7.06
4/9/86,6.88
4/10/86,6.88
4/11/86,6.88
4/14/86,6.88
4/15/86,6.81
4/16/86,6.75
4/17/86,6.56
4/18/86,6.63
4/21/86,6.69
4/22/86,6.75
4/23/86,6.81
4/24/86,6.81
4/25/86,6.94
4/28/86,7
4/29/86,6.88
4/30/86,6.88
5/1/86,6.88
5/2/86,6.94
5/6/86,6.81
5/7/86,6.81
5/8/86,6.81
5/9/86,6.84
5/12/86,6.94
5/13/86,7.06
5/14/86,6.94
5/15/86,7
5/16/86,7.13
5/19/86,7.13
5/20/86,7.19
5/21/86,7.06
5/22/86,7.06
5/23/86,7.06
5/27/86,7.06
5/28/86,7
5/29/86,7.06
5/30/86,7.13
6/2/86,7.13
6/3/86,7.19
6/4/86,7.19
6/5/86,7.19
6/6/86,7.19
6/9/86,7.06
6/10/86,7.13
